晚翠琴 (月深光清) , LH_piano_066, RH_blade_001,
威破赤霄·绛迟盾刀 (催千骑归) (催千骑归·一) , LH_shield_035, RH_pike_048,
寻踪觅宝·缎仙 (三昧逝) , RH_knife_074, RH_knife_074,
雁高双剑 (残云) (残云·一) (残云·二) , RH_Sword_083, RH_Sword_083,
蛛吻 (青橙) , D011034, D011034,
皎若云月 (溟) , D011029, D011029,
君怀剑 (浮云遮月) (浮云遮月·一) , RH_sword_183, RH_sword_183,
凰览笔 (折星) , RH_brush_144, RH_brush_144,
落雕 (蚕鱼人烟) (蚕鱼人烟·一) (蚕鱼人烟·四) , RH_bow_049b, RH_bow_049b,
神心护卫者 (中州遗恨) , RH_knife_007, RH_knife_007,
剑啸青穹·焕桃双剑 (身存何方) (身存何方·一) , RH_sword_217, RH_sword_217,
枕戈待战·疏雨双剑 (舞靥) , RH_sword_304, RH_sword_304,
闻法禅杖 (得吾) , RH_wand_033, RH_wand_033,
武曲 (霜州) , RH_Sword_023, RH_Sword_023,
铁纹长剑 (征烟) , RH_sword_010, RH_sword_010,
落珠玑 (相思不苦·二) (相思不苦·三) (相思不苦·五) , RH_sword_197, RH_sword_197,
剑破九州·磨秋琴 (书味满堂) , LH_piano_024, RH_blade_004,
天山雪 (孤屿) , LH_shield_006, RH_pike_006,
醉解敌颅·夜杀枪 (赤宇炎魂) (赤宇炎魂·一) , RH_spear_139, RH_spear_139,
固与 (衍乾坤) , RH_sword_314, RH_sword_314,
归元棒 (茅舍疏篱) , Lh_stick_006, RH_flagon_012,
铁马·惊岚轻剑 (苍然伟物) , RH_sword_105, RH_sword_105,
尘金 (定山河) , LH_BDdagger_002, RH_BDknife_002,
一刀寒光 (与谁同) , LH_shield_007, RH_pike_007,
海光浮 (如灭) , RH_Sword_013, RH_Sword_013,
荒城鬼境·山阴笔 (抱翅) , RH_brush_140, RH_brush_140,
尘沙傍蛟 , RH_sword_216d, RH_sword_216d,
不垢棍 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
赫灵笔 (无清风) (无清风·一) , RH_brush_106b, RH_brush_106b,
侠行寒沙·转蓬笔 (抱翅) , RH_brush_140, RH_brush_140,
烽火八方·锦羽双剑 (琅琊秀色) (琅琊秀色·一) , RH_sword_247, RH_sword_247,
博文约礼·洗素重剑 (倾心) , D007189, D007189,
纵横四海·万壑千泉 (松竹云隐) (松竹云隐·一) , RH_sword_308b, RH_sword_308b,
水月听梵 (书味满堂) , LH_piano_024, RH_blade_004,
畅兮 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
暮桑生波 (限光) , RH_sword_286, RH_sword_286,
不兴意 (鸥盟) , RH_brush_029, RH_brush_029,
红泪微 (几度幻哉) , RH_sword_170b, RH_sword_170b,
卫国枪 (时光) , RH_spear_011, RH_spear_011,
弘范 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
PVP测试装备 (玄弧) , D010070, D010070,
五行灵刃 (宝掣) , D007046, D007046,
浩气正宗·慎静之击 (鬓云斑) , RH_bow_004, RH_bow_004,
氐霆枪 (肃山河) , RH_spear_145, RH_spear_145,
极光流影·追星 , RH_bow_092c, RH_bow_092c, , T_唐门小橙武01
角清笔 (蘸蓝) , RH_brush_138, RH_brush_138,
龙舌 (唐将军) , RH_brush_014, RH_brush_014,
痴水·苍浪 (杏花天) , RH_Sword_029, RH_Sword_029,
寻踪觅宝·终遥 (往昔流年) , RH_sword_224, RH_sword_224,
红砂双剑 (几度幻哉) , RH_sword_170b, RH_sword_170b,
苍梧凤 (破寰) , LH_shield_076, RH_pike_076,
博文约礼·寂春笔 (沧浪) , RH_brush_024, RH_brush_024,
剑啸青穹·阡陌琴 (千鹤响) , LH_piano_017, RH_blade_017,
五毒内功测试虫笛 (今朝相伴) , D011001, D011001,
触露 (定山河) , LH_BDdagger_002, RH_BDknife_002,
子古琴 (动群伦) , LH_piano_020, RH_blade_001,
文韬武略·金城刀 (挑灯羁危) , LH_BDdagger_019, RH_BDknife_019,
胜遇 (残阳泣血) , RH_spear_140, RH_spear_140,
飞云 (无争) , D010087, D010087,
烽火八方·缀叶笛 (清河影雾) (清河影雾·一) , D011085, D011085,
暮雨还云 (玉骨遥月) , RH_sword_332, RH_sword_332,
噬逻 (寄相思) , D007204, D007204,
武魄 (星锁) , RH_spear_050, RH_spear_050,
清波汇海·凌晷伞 (乱香残夜) , San_024, San_024,
桀骜不驯·飞醴棒 (闻香潜寐) (闻香潜寐·一) , Lh_stick_034, RH_flagon_070,
鲸波荡世·巫曲笛 (折木枯笛) (折木枯笛·一) , D011110, D011110,
泰游 (山下闻道) , Lh_stick_006, RH_flagon_020,
博文约礼·千清笔 (唐将军) , RH_brush_014, RH_brush_014,
血炙 (奈何累) , D011004, D011004,
凰雾重剑 (万顷春水) , D007302b, D007302b,
晗云入虹 (八方涟漪) , LH_piano_030, RH_blade_016,
誉满天下·卷花琴 (书味满堂) , LH_piano_024, RH_blade_004,
日居 (不知器) , D007335, D007335,
翰藻 (斫良木) , LH_piano_004, RH_blade_004,
癸松棍 (法净正觉) , RH_wand_136, RH_wand_136,
燕山云 (送春日) , RH_spear_088b, RH_spear_088b,
拂羽剑 (杏花天雨) , RH_sword_235, RH_sword_235,
九阴 (无尘) , D007047, D007047,
渌水剑 (坐鹏翼) (坐鹏翼·一) , RH_sword_163b, RH_sword_163b,
据比之骨 (久藏) (久藏·一) , D011049, D011049,
麟兮 (云燕成双) , San_002, San_002,
信城 (不知吾身) , RH_brush_101, RH_brush_101,
承光转 (王侯折) (王侯折·一) (王侯折·二) , D007307, D007307,
冰河·鸾凤宿 (雪霜落) , LH_piano_028, RH_blade_014,
我武惟扬·晋洁双剑 (先生莫猜) (先生莫猜·一) , RH_sword_165b, RH_sword_165b,
知音觅兮·瑶华 (伤人欲) , RH_knife_017, RH_knife_017,
九曲·星梅弩 (莫留连·一) (莫留连) , RH_bow_050, RH_bow_050,
旭尧 (不知吾身) , RH_brush_101, RH_brush_101,
撷芳 (抱翅) , RH_brush_140, RH_brush_140,
天言 (梦中渔人) , RH_sword_150, RH_sword_150,
双月 (解荒风) , RH_sword_170, RH_sword_170,
忘忧 , RH_sword_144c, RH_sword_144c, RH_sword_144c_80, RH_sword_144c_80
倾瀚刀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
孤岫 (迟梦归) , RH_sword_241, RH_sword_241,
锟铻重剑 (南飞) , D007190, D007190,
行浪弩 (小楼夜阑) , RH_bow_021, RH_bow_021,
飘年 (动群伦) , LH_piano_020, RH_blade_001,
赤叶旋 (公卿倒) , D007306, D007306,
掩骨 (寒江) , RH_spear_133, RH_spear_133,
锦绣河山·挽蝶笛 (天人残蚀) (天人残蚀·一) , D011076, D011076,
永夜月孤 (浮雁沉鱼) , RH_knife_098, RH_knife_098,
善济 (棍胆) , RH_wand_015, RH_wand_015,
阁倚 (有穷无极·二) (有穷无极·三) (有穷无极·五) , RH_sword_196, RH_sword_196,
炙锋枭战·旷望弩 (寒鸦夜聚) (寒鸦夜聚·一) , RH_bow_054, RH_bow_054,
未命名的装备 (晴光) , RH_sword_043, RH_sword_043,
昙始杖 (梧桐) , RH_wand_049, RH_wand_049,
盛唐双剑 (鸾凤) , D007040, D007040,
达婆棍 (飞骨纤烟) , RH_wand_102b, RH_wand_102b,
水龙吟·惊龙 , RH_sword_320c, RH_sword_321c, S_七秀橙武_c02_HD, S_七秀橙武_c01_HD
慈悲 (柳风澜) (柳风澜·一) (柳风澜·二) , RH_knife_021, RH_knife_021,
离朱刀 (云燕成双) , San_002, San_002,
名动天下·孰良笔 (西游空山) (西游空山·一) , RH_brush_114, RH_brush_114,
行向孤云 (突然多梦) , LH_piano_023, RH_blade_003,
遏云 (乱香残夜) , San_024, San_024,
南风赫炎·逸伦笔 (西山居) , RH_brush_038, RH_brush_038,
五毒治疗威望武器 (朔雪) , D011002b, D011002b,
金戈·丹青 (等闲幽梦) , RH_brush_087, RH_brush_087,
逍遥天下·晓鸾双剑 (造物垂冰) , RH_sword_161b, RH_sword_161b,
义深枪 (壑连城) (壑连城·一) , RH_spear_103, RH_spear_103,
星云 (妖督) , LH_shield_067, RH_pike_068,
文彦 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
义薄云天·游龙枪 (妖邪) , RH_spear_042, RH_spear_042,
解龙 (鬓云斑) , RH_bow_004, RH_bow_004,
无边飞花棒 , Lh_stick_001, RH_flagon_010,
月昭 (刺锋) , San_028, San_028,
为君 (金河倾) , RH_spear_113, RH_spear_113,
不惊 (墨色染) , RH_wand_013, RH_wand_013,
王醉风云·芳林笛 (明心) (明心·一) , D011058b, D011058b,
妙法莲华·禅 , RH_wand_117b, RH_wand_117b,
织鸳文 (蝉声未绝) , D011080, D011080,
煌极云来·秋庭剑 (幻望仙歌) (幻望仙歌·一) , RH_sword_209, RH_sword_209,
写意 (行云) , RH_brush_033, RH_brush_033,
威震诸侯·淳恩笛 (天人若语) (天人若语·一) , D011074, D011074,
临风弩 (震铓) , RH_bow_083, RH_bow_083,
探珠 (别鹤) , LH_piano_076, RH_blade_064,
PVP测试装备 , RH_knife_015, RH_knife_015,
醉梦逍遥棒·刀功 (三十无求) , Lh_stick_007, RH_flagon_013,
含元剑 (心铁牙牢·二) (心铁牙牢) (心铁牙牢·一) , RH_sword_178, RH_sword_178,
未命名的装备 (忠贤) , RH_brush_016, RH_brush_016,
追魂 (尽东园) (尽东园·一) , RH_bow_038b, RH_bow_038b,
苍天鹤血·黄虬重剑 (因果) , D007259b, D007259b,
气吞山河·篱雀琴 (轩昂色) , LH_piano_014, RH_blade_014,
后来之秀 (待秋风) , LH_shield_005, RH_pike_005,
凤鸣秋梧 , LH_piano_007, RH_blade_007, C_长歌70级橙武琴伤害_01, C_长歌70级橙武剑伤害_01
颍水龙剑 (扁舟) , D007187, D007187,
测试装备 (寒江) , RH_spear_133, RH_spear_133,
断风 (刺锋) , San_028, San_028,
丹障笛 (吹愁) , D011051, D011051,
草圣 (古今情) , RH_brush_028, RH_brush_028,
幽湖空明 (落花流水) , D011002, D011002,
战无不胜·魂鉴刀 (兴废陈踪) (兴废陈踪·一) , RH_knife_011, RH_knife_011,
如霜 (一点千古意) , Lh_stick_008, RH_flagon_001,
溯流 , RH_spear_091, RH_spear_091, , RH_spear_091天策_铁牢
纵横四海·惊雁枕戈 (魂戍边) (魂戍边·一) , LH_shield_077b, RH_pike_077b,
山桂芳 (兴亡散序) , LH_piano_068, RH_blade_001,
豁口的锈剑 (踏遍) , D007166, D007166,
剑挽狂澜·倦泽 (青羽护) , RH_spear_127, RH_spear_127,
素曜笔 (抱翅) , RH_brush_140, RH_brush_140,
倒凌苍 (眉绝巅) (眉绝巅·一) (眉绝巅·四) , RH_spear_098b, RH_spear_098b,
初见日月·漾漾 (暖画) , RH_brush_139, RH_brush_139,
玄通剑 (屈虚) , RH_sword_233, RH_sword_233,
宿沙盾刀·曜 , LH_shield_058, RH_pike_059,
古朴的埋镜枪 (送春日) , RH_spear_088b, RH_spear_088b,
天策外功测试枪 (越澜) , D010168, D010168,
虚名无棍 (杀乱) (杀乱·一) , RH_wand_072b, RH_wand_072b,
舍罪 (三月清明) (三月清明·一) , RH_knife_020, RH_knife_020,
不染 (杀乱) (杀乱·一) , RH_wand_072b, RH_wand_072b,
无雁枪 (今何往) , RH_Spear_007, RH_Spear_007,
古朴的杏花笔 (不断苔生) , RH_brush_101b, RH_brush_101b,
寻踪觅宝·孟风笔 (不断苔生) , RH_brush_101b, RH_brush_101b,
琼莲 , San_014, San_014, , P_蓬莱90级大橙武伞关
流离长枪 (明珠苍壁) (明珠苍壁·一) , RH_spear_094b, RH_spear_094b,
红杜鹃 (贪古调) , LH_piano_001, RH_blade_001,
苍云雨 (鬓云斑) , RH_bow_004, RH_bow_004,
炽焰燃烽·舜禹剑 (太真同痴) (太真同痴·一) , RH_sword_213, RH_sword_213,
万劫 (枯九折) (枯九折·一) , RH_wand_115, RH_wand_115,
朔刀饮雪 (燕将去) , LH_shield_069, RH_pike_070,
竹潭笛 (碎灰) , D011055, D011055,
阿迦修罗·怨 (独尊) , D010114, D010114,
炙锋枭战·碧虚灵伞 (新竹晚影) (新竹晚影·一) , San_006, San_006,
丙陌盾刀 (孤屿) , LH_shield_006, RH_pike_006,
破阵归 (荼妄) , RH_spear_125, RH_spear_125,
 (平落清溪) , RH_sword_169, RH_sword_169,
逝川笔 (捧心) , RH_brush_036, RH_brush_036,
洛子溪 (突然多梦) , LH_piano_023, RH_blade_003,
癸瑶笔 (风冻流云) , RH_brush_134, RH_brush_134,
徵遥笔 (折星) , RH_brush_144, RH_brush_144,
扬威天下·勤征盾刀 (与谁同) , LH_shield_007, RH_pike_007,
扬沙枪 (时光) , RH_spear_011, RH_spear_011,
蕙芬纸伞 (云燕成双) , San_002, San_002,
炽焰燃烽·令世笔 (月饮怀) (月饮怀·一) , RH_brush_115, RH_brush_115,
迟钝的子母剑 (半生皆敌) , RH_Sword_004, RH_Sword_004,
胜疏 (池浅速谋) , LH_shield_055, RH_pike_056,
天坤盾刀 (孤屿) , LH_shield_006, RH_pike_006,
梵风暴 (豪气千石) , Lh_stick_005, RH_flagon_014,
宿沙棍·璨 (提婆因陀) , RH_wand_140, RH_wand_140,
宿沙伞·曜 (紫宵幻蝶) , San_040, San_040,
赤玉清夜 (寸肠) , RH_sword_048, RH_sword_048,
青碧重落 (不断苔生) , RH_brush_101b, RH_brush_101b,
镇妖 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
昊穹·采苹双剑 (旧侣生平) (旧侣生平·一) , RH_sword_199, RH_sword_199,
度妄舌 (镇魂) , RH_wand_050, RH_wand_050,
乌栖月 (残月经风) , RH_bow_064, RH_bow_064,
剑啸青穹·醉笙琴 (千鹤响) , LH_piano_017, RH_blade_017,
鬼哭棒 (一点千古意) , Lh_stick_008, RH_flagon_001,
日暮刀 (洞箍) , RH_knife_037, RH_knife_037,
剑试天下·封心刃 (野浮光) , RH_knife_003, RH_knife_003,
指画星辰 (鬓云斑) , RH_bow_004, RH_bow_004,
幽梦双剑 (仙乡) , RH_sword_044, RH_sword_044,
湘川 (荒骨吹) , D011096, D011096,
微义 (孤云何系) , LH_shield_083, RH_pike_083,
蒙奢金剑 (竟天) , D007024, D007024,
剑胆琴心·华胥笔 (玉鸥) (玉鸥·一) , RH_brush_094, RH_brush_094,
鬼愁双剑 (解荒风) , RH_sword_170, RH_sword_170,
庚音棍 (踏湖歌) , RH_wand_082, RH_wand_082,
怯魂 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
青荧星影 (似曾相识) (似曾相识·一) (似曾相识·二) , RH_sword_125, RH_sword_125,
蚀玉 , RH_sword_329c, RH_sword_329c, , C_藏剑小橙武_轻剑01
扬威天下·祁云剑 (须相异) , RH_sword_190, RH_sword_190,
鲸波荡世·寒流刀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
盖穹苍 (夜郎啼) (夜郎啼·一) (夜郎啼·二) (夜郎啼·三) , RH_wand_114, RH_wand_114,
晋炎 (扶头念) , RH_knife_004, RH_knife_004,
未命名 (色香) , D010079, D010079,
风和 (震铓) , RH_bow_083, RH_bow_083,
青竹笛 (今朝相伴) , D011001, D011001,
金刚钺刀 (真石) , D007109, D007109,
荣冀 (道名逝) , RH_knife_006, RH_knife_006,
落梅烟雨 (玉千杆) , RH_bow_007, RH_bow_007,
九州纵横·雳锋刀 (击磊) (击磊·一) , LH_BDdagger_044, RH_BDknife_044,
鹏袭 (云遮眉) , RH_bow_001, RH_bow_001,
攻无不克·奋戈枪 (众明) , RH_spear_063, RH_spear_063,
抱文书 (碧千帆) , LH_shield_003, RH_pike_003,
文韬武略·林崇笔 (阿房一炬) , RH_brush_131, RH_brush_131,
九星铄月 (深渊白浪) (深渊白浪·一) , RH_bow_029, RH_bow_029,
昼野·酡然棒 (波浪潮头) , Lh_stick_005, RH_flagon_025,
清歌 (幽树夜花) , RH_sword_343, RH_sword_343,
碧水东流 , D011042, D011042,
水龙吟·初荷 , RH_sword_320d, RH_sword_321d,
露泣笛 (霸图) (霸图·一) , D011065b, D011065b,
汹浪盾刀 (载地) , LH_shield_002, RH_pike_002,
熠辰芒·耀世 , RH_knife_091, RH_knife_091,
龙清 (芭俏·一) (芭俏) , D007088, D007088,
霜庭笔 (折星) , RH_brush_144, RH_brush_144,
言识琴 (雪霜落) , LH_piano_028, RH_blade_014,
过庭棒 (醉后双影) , Lh_stick_014, RH_flagon_050,
太康盾刀 (待秋风) , LH_shield_005, RH_pike_005,
雨覆 (几蒲团) (几蒲团·一) (几蒲团·二) , RH_sword_155c, RH_sword_155d,
艾黎骨笛 (豪雄) , D011009, D011009,
清夜玄天 (云破月影) , RH_sword_341, RH_sword_341,
岫青晓白 (谁发香气) (谁发香气·一) , RH_brush_106, RH_brush_106,
采藻 (沧海倒江潮) , RH_brush_125, RH_brush_125,
气吞山河·雾滔双剑 (虚名) , RH_sword_041, RH_sword_041,
梁尘 (乱香残夜) , San_024, San_024,
荒畴刀 (砚封侯) , RH_knife_033, RH_knife_033,
泉声 (沧波瑟惧) , RH_bow_076, RH_bow_076,
残云红叶 (指上听) , LH_piano_003, RH_blade_003,
清波汇海·明俊琴 (千鹤响) , LH_piano_017, RH_blade_017,
猎蛟 (鬓云斑) , RH_bow_004, RH_bow_004,
世良 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
洗铅华 (奈何累) , D011004, D011004,
血战黄泉·苍风琴 (轩昂色) , LH_piano_014, RH_blade_014,
往闻棍 (恒一) , RH_wand_144, RH_wand_144,
泰岳清风 (路遥) , D007160, D007160,
桀骜不驯·七襄重剑 (迷夜海) (迷夜海·一) , D007387, D007387,
熠辰芒·耀世 , RH_knife_091b, RH_knife_091b,
寻踪觅宝·忘尘 (断源心体) , RH_sword_274, RH_sword_274,
火涛 (百川吞海) , RH_knife_001, RH_knife_001,
青山入意 (雾沾襟) , Lh_stick_033, RH_flagon_069,
可见匣 (危锋绝鄙) , RH_bow_040, RH_bow_040,
雁翼盾刀 (暴云) , LH_shield_001, RH_pike_001,
月蚀·凌妍双剑 (飞渡几字) , RH_sword_103, RH_sword_103,
夜乌琴 (雪霜落) , LH_piano_028, RH_blade_014,
仓庚雎 (奇绝) (奇绝·一) , D011065, D011065,
铁铲 (藏界) , D010107, D010107,
紫金镇皇枪 (无争) , D010087, D010087,
雾香琴 (贪古调) , LH_piano_001, RH_blade_001,
气荡沧溟·海云纷露 (孤月引仙) (孤月引仙·一) , D011106b, D011106b,
伏波重剑 (藏壁) , D007178, D007178,
常凶剑 (追情梦) , RH_sword_139, RH_sword_139,
龙行赤竹笔 (唐将军) , RH_brush_014, RH_brush_014,
永嘉道 (霜头寒菊·二) (霜头寒菊) (霜头寒菊·一) , RH_bow_041, RH_bow_041,
鲸波荡世·非相禅杖 (禅渡凡心) (禅渡凡心·一) , RH_wand_152, RH_wand_152,
醉解敌颅·澹荡琴 (夜诵黄泉) (夜诵黄泉·一) , LH_piano_081, RH_blade_069,
易水凌 (千回梦) (千回梦·一) (千回梦·四) , LH_shield_030b, RH_pike_030b,
赤胆横戈·刃雪盾刀 (川海流) (川海流·一) , LH_shield_027, RH_pike_027,
亥烟盾刀 (载地) , LH_shield_002, RH_pike_002,
钻龙 (后屠) , RH_Spear_009, RH_Spear_009,
寻踪觅宝·逆否 (高楼冥想) , RH_wand_120, RH_wand_120,
誉满天下·锦世双剑 (寒园夜曲) , RH_sword_203, RH_sword_203,
博文约礼·遣柳弩 (云遮眉) , RH_bow_001, RH_bow_001,
花枝栖晚 (闻人泣) , LH_piano_026, RH_blade_006,
雁门霜雪 (寒江) , RH_spear_133, RH_spear_133,
瀚海雄风·彰焰棒 (镜里花开) , Lh_stick_008, RH_flagon_019,
冥霜紫月 (洞箍) , RH_knife_037, RH_knife_037,
斟北斗 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
激水翦风·纪理笔 (四万八千) (四万八千·一) , RH_brush_117, RH_brush_117,
不夜未央 (诸侯征勋) , LH_shield_066, RH_pike_067,
鸣羽封喉 , LH_BDdagger_028d, RH_BDknife_028d,
银蟾短笛 (对镜) , D011006, D011006,
鬼泣玲珑刀 (绿寂调) , RH_knife_037b, RH_knife_037b,
华茂 (惊禅) , RH_wand_146, RH_wand_146,
两叶 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
覆雨翻云·天休剑 (道冥一) (道冥一·一) , RH_sword_259, RH_sword_259,
剑啸青穹·追柳剑 (一线轻舟) (一线轻舟·一) , RH_sword_218, RH_sword_218,
燕然魂 (已相顾) , RH_knife_077, RH_knife_077,
羽渐鸿 (剪墓) , D007384, D007384,
咏雅 (双人调琴) , LH_piano_043, RH_blade_018,
古朴的梦朱盾刀 (暴云) , LH_shield_001, RH_pike_001,
寻踪觅宝·万征双刀 (绿寂调) , RH_knife_037b, RH_knife_037b,
画牺 (待秋风) , LH_shield_005, RH_pike_005,
木叶香 (悲白) , LH_BDdagger_007, RH_BDknife_007,
金戈·玉宇 (飞渡几字) , RH_sword_103, RH_sword_103,
龙威·大月轻剑 (飞来鸥) , RH_sword_151, RH_sword_151,
繁霜棒 (平生味道) (平生味道·一) (平生味道·二) (平生味道·三) , Lh_stick_008, RH_flagon_044,
月蚀·承宇棒 (波浪潮头) , Lh_stick_005, RH_flagon_025,
目连神通 (碎魄转轮) , D010092, D010092,
神纪枪 (眉绝巅) (眉绝巅·一) (眉绝巅·四) , RH_spear_098b, RH_spear_098b,
天路遥 (倾心) , D007189, D007189,
黄沙铁战 (宵彤) , D010037, D010037,
西来龙杖 (紫节) , RH_wand_016, RH_wand_016,
无缘终 (素娥冷) (素娥冷·一) , LH_shield_018, RH_pike_018,
一笔穿佛 (歌狂) , RH_brush_023, RH_brush_023,
测试装备 , RH_spear_084, RH_spear_084,
掇乾 (道名逝) , RH_knife_006, RH_knife_006,
靖平九州·漠虚灵伞 (新竹晚影) (新竹晚影·一) , San_006, San_006,
苦心容 (影怖卷垂) , LH_shield_012, RH_pike_012,
御赐大锅铲·生煎 (一诺千金) , RH_spear_045, RH_spear_045,
文韬武略·霄翰枪 (寸心丹) , RH_spear_119, RH_spear_119,
墨海啸傲 (行云) , RH_brush_033, RH_brush_033,
剑啸青穹·断恨长枪 (一人孤军) (一人孤军·一) , RH_spear_105, RH_spear_105,
月蚀·衍音刀 (伤人欲) , RH_knife_017, RH_knife_017,
望天山 (乱香残夜) , San_024, San_024,
鸟噪空山 (与谁同) , LH_shield_007, RH_pike_007,
穆王 (情伤) , RH_sword_007, RH_sword_007,
纵横四海·俗尘乱心 (明心悟) (明心悟·一) , RH_wand_147b, RH_wand_147b,
