Name,Mesh1,Mesh2,Mesh3,Mesh4,sfx1,sfx2,ID
木枪·狩兽,(死念),,,RH_spear_002,RH_spear_002,,129,
破损的铁枪,(死念),,,RH_spear_002,RH_spear_002,,129,
木枪·狩兽,(死念),,,RH_spear_002,RH_spear_002,,129,
铁枪·好战,(那行者),,,RH_spear_006,RH_spear_006,,133,
精致长枪,(王行),,,D010054,D010054,,103,
雁翎枪,(断执着),,,RH_spear_003,RH_spear_003,,130,
铁刀,(旧璋),,,D010029,D010029,,113,
铁枪·好战,(那行者),,,RH_spear_006,RH_spear_006,,133,
铁枪·好战,(那行者),,,RH_spear_006,RH_spear_006,,133,
木柄长刀,(影拜),,,D010003,D010003,,102,
铜头枪·立威,(今何往),,,RH_Spear_007,RH_Spear_007,,134,
铜头枪·立威,(今何往),,,RH_Spear_007,RH_Spear_007,,134,
尉迟枪,(舍不舍),,,RH_spear_004,RH_spear_004,,131,
大斧,(弗如敌),,,D010024,D010024,,101,
青铜枪·钩镰,(乱奇),,,D010015,D010015,,105,
鹰扬枪,(年年),,,RH_Spear_005,RH_Spear_005,,132,
青铜枪·钩镰,(乱奇),,,D010015,D010015,,105,
青铜枪·钩镰,(乱奇),,,D010015,D010015,,105,
青铜枪·钩镰,(乱奇),,,D010015,D010015,,105,
青铜枪·钩镰,(乱奇),,,D010015,D010015,,105,
铁铲,(藏界),,,D010107,D010107,,111,
紫铜枪·六合,(不离之续),,,RH_spear_033,RH_spear_033,,146,
赤铁重戟,(惧灭),,,D010050,D010050,,117,
黄铜轻戈,(权慑),,,D010051,D010051,,118,
百战,(盛意),,,D010021,D010021,,109,
千征,(世尊),,,D010059,D010059,,119,
虎牙刀,(旧璋),,,D010029,D010029,,113,
凤纹刀,(不言),,,D010077,D010077,,121,
秦王破阵枪,(乱奇),,,D010015,D010015,,105,
紫铜枪·六合,(不离之续),,,RH_spear_033,RH_spear_033,,146,
紫铜枪·六合,(不离之续),,,RH_spear_033,RH_spear_033,,146,
破浪枪,(年年),,,RH_Spear_005,RH_Spear_005,,132,
紫铜枪·六合,(不离之续),,,RH_spear_033,RH_spear_033,,146,
邬异枪,(今何往),,,RH_Spear_007,RH_Spear_007,,134,
紫铜枪·六合,(不离之续),,,RH_spear_033,RH_spear_033,,146,
玄火刀,(不言),,,D010077,D010077,,121,
蛇矛,(死念),,,RH_spear_002,RH_spear_002,,129,
点钢枪·拒马,(舍不舍),,,RH_spear_004,RH_spear_004,,131,
凤嘴梨花,(旧璋),,,D010029,D010029,,113,
尖火,(不言),,,D010077,D010077,,121,
赤月,(宵彤),,,D010037,D010037,,115,
青星,(无争),,,D010087,D010087,,125,
点钢枪·拒马,(舍不舍),,,RH_spear_004,RH_spear_004,,131,
点钢枪·拒马,(舍不舍),,,RH_spear_004,RH_spear_004,,131,
虎啸长刀,(宅与),,,D010022,D010022,,110,
点钢枪·拒马,(舍不舍),,,RH_spear_004,RH_spear_004,,131,
降怪枪,(后屠),,,RH_Spear_009,RH_Spear_009,,136,
点钢枪·拒马,(舍不舍),,,RH_spear_004,RH_spear_004,,131,
点钢枪,(舍不舍),,,RH_spear_004,RH_spear_004,,131,
锥枪·豹尾,(若是),,,RH_spear_032,RH_spear_032,,145,
御赐护国枪,(不说不知),,,RH_spear_035,RH_spear_035,,148,
锥枪·豹尾,(若是),,,RH_spear_032,RH_spear_032,,145,
阿里曼银雷,(后屠),,,RH_Spear_009,RH_Spear_009,,136,
扬沙枪,(不离之续),,,RH_spear_033,RH_spear_033,,146,
破损不堪的装备,(不离之续),,,RH_spear_033,RH_spear_033,,146,
破损不堪的装备,(盛意),,,D010021,D010021,,109,
锥枪·豹尾,(若是),,,RH_spear_032,RH_spear_032,,145,
银蛇,(叹息),,,RH_Spear_010,RH_Spear_010,,137,
虎头湛金,(世尊),,,D010059,D010059,,119,
追魂,(鹊法),,,D010032,D010032,,114,
追魂,(鹊法),,,D010032,D010032,,114,
锥枪·豹尾,(若是),,,RH_spear_032,RH_spear_032,,145,
鬼毒龙胆,(离玉),,,D010088,D010088,,126,
